serie_id,fallas_historicas,costo_historico,primera_falla,ultima_falla
"211evo2||ACF valve||EXCESSIVE PLAY (LOOSE, WORN, SLACK)",5,923.34,2025-05-01,2025-10-01
211evo2||ACF valve||Repair as instructed,1,198.58,2024-11-01,2024-11-01
211evo2||Activated charcoal filter pipe||ELECTRICAL FAULT,6,814.77,2024-07-01,2025-03-01
211evo2||Activated charcoal filter pipe||LEAKING,4,976.22,2024-03-01,2025-10-01
211evo2||Activated charcoal filter pipe||NOISY,2,29.990000000000002,2025-09-01,2025-11-01
"211evo2||Adjuster unit for valve lift system||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,363.74,2024-07-01,2024-09-01
"211evo2||Bypass control unit||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",1,70.27,2025-10-01,2025-10-01
"211evo2||Cam follower shaft||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",1,66.2,2025-04-01,2025-04-01
211evo2||Camshaft adjuster||NOISY,2,404.06,2024-04-01,2025-07-01
"211evo2||Camshaft adjuster||STIFF (STICKS, JAMS,SEIZED)",1,2380.96,2024-09-01,2024-09-01
"211evo2||Camshaft adjuster||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",2,1109.75,2025-07-01,2025-11-01
211evo2||Camshaft housing||NOISY,1,20.98,2025-05-01,2025-05-01
"211evo2||Camshaft housing||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",1,2168.94,2024-10-01,2024-10-01
"211evo2||Camshaft sprocket||EXCESSIVE PLAY (LOOSE, WORN, SLACK)",1,70.64,2025-07-01,2025-07-01
"211evo2||Camshaft sprocket||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",7,5229.15,2025-01-01,2025-08-01
"211evo2||Camshaft||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4,364.65,2024-06-01,2025-09-01
211evo2||Camshaft||NOISY,1,16.15,2025-08-01,2025-08-01
211evo2||Chain housing cover||LEAKING,3,461.74,2025-06-01,2025-09-01
"211evo2||Chain housing cover||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3,380.57,2025-03-01,2025-11-01
211evo2||Cold start valve||ELECTRICAL FAULT,1,22.63,2025-09-01,2025-09-01
"211evo2||Cold start valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4,550.84,2024-12-01,2025-11-01
"211evo2||Combi-valve||EXCESSIVE PLAY (LOOSE, WORN, SLACK)",1,157.02,2024-11-01,2024-11-01
211evo2||Combi-valve||LEAKING,4,923.7800000000001,2025-02-01,2025-06-01
"211evo2||Combi-valve||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",1,193.31,2025-11-01,2025-11-01
"211evo2||Compressor||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",1,19.25,2024-07-01,2024-07-01
"211evo2||Conrod bearing||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,12596.54,2024-06-01,2025-09-01
"211evo2||Conrod||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",1,4317.48,2025-04-01,2025-04-01
211evo2||Control housing||LEAKING,1,127.61,2025-09-01,2025-09-01
211evo2||Coolant hose flange||LEAKING,2,706.0799999999999,2025-04-01,2025-06-01
"211evo2||Coolant hose flange||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",1,698.02,2025-08-01,2025-08-01
"211evo2||Coolant pump seals||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3,975.56,2024-10-01,2025-09-01
"211evo2||Coolant pump||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",1,77.25,2025-10-01,2025-10-01
211evo2||Coolant temperature sender||LEAKING,1,379.75,2024-10-01,2024-10-01
211evo2||Core plug||LEAKING,3,5236.41,2025-04-01,2025-09-01
"211evo2||Crankcase breather||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,319.14,2024-03-01,2025-03-01
"211evo2||Crankshaft bearing||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",1,6221.94,2025-01-01,2025-01-01
"211evo2||Crankshaft oil seal, flywheel end||LEAKING",2,2366.62,2025-08-01,2025-10-01
"211evo2||Crankshaft oil seal, flywheel end||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",1,1237.49,2024-09-01,2024-09-01
"211evo2||Crankshaft oil seal, pulley end||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3,1937.0800000000002,2025-09-01,2025-11-01
"211evo2||Crankshaft vibration damper||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3,778.38,2024-08-01,2025-11-01
211evo2||Crankshaft vibration damper||NOISY,1,163.48,2025-04-01,2025-04-01
"211evo2||Crankshaft||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,91.77,2025-01-01,2025-08-01
211evo2||Cylinder block||Repair as instructed,8,28591.97,2024-12-01,2025-10-01
"211evo2||Cylinder block||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",1,4759.98,2025-09-01,2025-09-01
211evo2||Cylinder block||VEHICLE BUY-BACK,1,5226.03,2025-04-01,2025-04-01
"211evo2||Cylinder head cover||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,231.01999999999998,2024-10-01,2025-05-01
211evo2||Cylinder head gasket||Repair as instructed,2,4192.77,2025-06-01,2025-10-01
"211evo2||Cylinder head||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",1,1650.31,2025-11-01,2025-11-01
"211evo2||Cylinder liner||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",1,83.52,2025-10-01,2025-10-01
211evo2||Dipstick||LEAKING,1,59.89,2025-09-01,2025-09-01
"211evo2||Drive plate for converter||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3,2990.18,2025-05-01,2025-11-01
"211evo2||EGR change over valve||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",1,248.11,2025-08-01,2025-08-01
"211evo2||Elec inj wiring loom||CONTACT / PLUG (LOOSE, PINS PUSHED BACK)",1,62.91,2025-08-01,2025-08-01
211evo2||Engine Oil||REDUCTION,2,57.519999999999996,2025-09-01,2025-11-01
211evo2||Engine Oil||Repair as instructed,2,201.26999999999998,2025-03-01,2025-04-01
"211evo2||Engine wiring loom||CABLE (PINCHED, SHORT CIRCUIT)",2,1057.04,2025-07-01,2025-08-01
"211evo2||Engine wiring loom||CABLE CONNECTION (LOOSE, INTERMITTENT, POOR GROUND)",4,3580.19,2024-04-01,2025-10-01
211evo2||Engine wiring loom||CONNECTOR HOUSING / COUPLING,2,1352.52,2024-05-01,2025-09-01
"211evo2||Engine wiring loom||CONTACT / PLUG (LOOSE, PINS PUSHED BACK)",2,451.04,2025-04-01,2025-08-01
211evo2||Engine wiring loom||CRIMP CONTACT (CRIMPED OVER INSULATION),1,225.97,2025-01-01,2025-01-01
"211evo2||Exhaust gas recirculation cooler||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",1,59.57,2025-10-01,2025-10-01
"211evo2||Exhaust gas recirculation valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",5,849.5600000000001,2025-02-01,2025-07-01
211evo2||Exhaust manifold gasket||LEAKING,2,1059.03,2025-10-01,2025-11-01
"211evo2||Exhaust manifold gasket||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",6,909.87,2025-02-01,2025-11-01
