serie_id,mes_repair,fallas,componente,damage_code
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-02-01,1,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-03-01,4,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-04-01,3,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-05-01,8,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-06-01,9,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-07-01,15,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-08-01,18,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-09-01,18,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-10-01,35,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-11-01,22,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-12-01,52,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-01-01,72,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-02-01,66,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-03-01,49,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-04-01,44,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-05-01,31,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-06-01,29,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-07-01,38,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-08-01,54,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-09-01,73,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-10-01,101,2,1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-11-01,77,2,1
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2024-07-01,1,2,1
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2024-08-01,1,2,1
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2024-09-01,1,2,1
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2024-12-01,1,2,1
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-01-01,1,2,1
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-04-01,3,2,1
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-08-01,2,2,1
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-09-01,1,2,1
211evo2||Cylinder block||LEAKING,2024-07-01,1,2,1
211evo2||Cylinder block||LEAKING,2024-10-01,1,2,1
211evo2||Cylinder block||LEAKING,2025-02-01,1,2,1
211evo2||Cylinder block||LEAKING,2025-05-01,1,2,1
211evo2||Cylinder block||LEAKING,2025-07-01,1,2,1
211evo2||Cylinder block||LEAKING,2025-08-01,1,2,1
211evo2||Cylinder block||LEAKING,2025-09-01,3,2,1
211evo2||Cylinder block||LEAKING,2025-10-01,2,2,1
211evo2||Cylinder block||LEAKING,2025-11-01,1,2,1
"211evo2||Oil filter||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-02-01,1,2,1
"211evo2||Oil filter||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-01-01,3,2,1
"211evo2||Oil filter||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-02-01,6,2,1
"211evo2||Oil filter||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-03-01,37,2,1
"211evo2||Oil filter||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-04-01,92,2,1
