serie_id,score,nivel_alerta,c1_desviacion,c2_cusum,c3_engine_date,c4_if,c5_error_prev,c6_crecimiento,c7_costo,razones,cusum_final,z_score_reciente,aceleracion_3m,cohorte_ratio_max,if_score_reciente,fecha_calculo
"888evo5||Coolant pump||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",59.05197100924082,MEDIA,1.0,1.0,0.0,0.027440557035666155,1.0,0.876825205654624,0.007947383972375415,Desv.stat=133333333.3σ | CUSUM=399999998.5 | ErrFcPrev>50% | Crec=2.1x,399999998.5,133333333.33333334,-0.4999999999999997,1.0,0.020692122033285448,2026-05-14 05:54
888evo5||Intake manifold pressure sender||ELECTRICAL FAULT,51.24571678819485,MEDIA,1.0,1.0,0.0,0.04199163762200379,0.047649801042551274,1.0,0.0069201172744093745,Desv.stat=266666666.7σ | CUSUM=799999998.5 | Crec=2.4x,799999998.5,266666666.66666666,1.5000000000000002,1.0,0.03166466660726478,2026-05-14 05:54
888evo5||Ignition coil||ELECTRICAL FAULT,50.675198854190185,MEDIA,1.0,1.0,0.0,0.05810976978793983,0.21140440948893197,0.7857748289609933,0.01799884067174567,Desv.stat=466666666.7σ | CUSUM=1499999999.0 | Crec=2.0x,1499999999.0,466666666.6666667,6.000000000000002,1.0,0.043818878975937836,2026-05-14 05:54
"888G3||Cylinder block||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",47.59450268977506,MEDIA,0.0,4.033207406863427e-08,1.0,0.8123969092208649,1.0,0.06531287558691874,1.0,Cohorte=1.00x | IF=anomalía | ErrFcPrev>50% | CostoAlto,12.09962216009217,-0.5586580419080995,-3.4999999999999982,1.0000000000000002,0.6126047646632246,2026-05-14 05:54
211evo2||Cylinder block||LEAKING,46.380236648933014,MEDIA,1.0,1.0,0.0,0.15505239304330584,0.2876972307408628,0.12918998359381786,0.1646367320827974,Desv.stat=100000000.0σ | CUSUM=299999998.5,299999998.5,100000000.0,-1.0,1.0,0.11692047775250773,2026-05-14 05:54
"888evo4||Thermostat housing||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",45.399813124584,MEDIA,7.791645491111358e-09,3.2880583634233003e-07,1.0,1.0,0.5919124777509643,0.0,0.9350852840920488,Cohorte=1.00x | IF=anomalía | ErrFcPrev>50% | CostoAlto,98.64175040949026,0.5480123995415024,-17.499999999999996,1.0000000000000002,0.8127795720133878,2026-05-14 05:54
"888evo5||Coolant pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",45.033803940432904,MEDIA,0.947867298578193,0.6666666683333333,0.0,0.00988662604574761,0.18184446785931918,1.0,0.011242577187268513,Desv.stat=66666666.7σ | CUSUM=199999999.5 | Crec=2.3x,199999999.5,66666666.66666667,1.0000000000000004,1.0,0.007455215736698384,2026-05-14 05:54
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",44.69047480582798,MEDIA,1.0,1.0,0.0,0.06970781211357366,0.23918166445864947,0.25422709329281784,0.007862529474614448,Desv.stat=100000000.0σ | CUSUM=299999998.5,299999998.5,100000000.0,-1.0,1.0,0.05256462370835335,2026-05-14 05:54
"888evo4||Cylinder head gasket||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",44.36988005471253,MEDIA,1.0,1.0,0.0,0.15477308397892292,0.021352570687710765,0.25781254898065803,0.05393266655322975,Desv.stat=133333333.3σ | CUSUM=399999999.0,399999999.0,133333333.33333334,0.5000000000000002,1.0,0.11670985895064805,2026-05-14 05:54
888evo5||High pressure pump||ELECTRICAL FAULT,43.30985886899893,MEDIA,0.947867298578193,0.6666666683333333,0.0,0.028712170579451333,0.3088868012617771,0.7167834842423612,0.02176701800728688,Desv.stat=66666666.7σ | CUSUM=199999999.5 | Crec=1.9x,199999999.5,66666666.66666667,1.0000000000000004,1.0,0.021651008640178365,2026-05-14 05:54
"888evo4||Oil filler neck||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",43.203125074768394,MEDIA,1.0,1.0,0.0,0.1352276822079322,0.03553496143303823,0.20924590570592688,0.004744249304005505,Desv.stat=100000000.0σ | CUSUM=299999998.5,299999998.5,100000000.0,-0.4999999999999997,1.0,0.10197124274437848,2026-05-14 05:54
888G3||Thermostat housing||LEAKING,43.100211616779724,MEDIA,5.198888619874955e-08,1.0,1.0,0.19103343580052926,0.07296455162383556,0.4733584719416497,0.055336873606856504,CUSUM=1499999997.5 | Cohorte=1.00x,1499999997.4999998,3.6565516626454087,1.5000000000000007,1.0000000000000002,0.14405273044874947,2026-05-14 05:54
888evo4||Intake air temperature sensor||ELECTRICAL FAULT,42.87235028200321,MEDIA,1.0,1.0,0.0,0.13473394607713757,0.0060924499894357215,0.20533877371056738,0.007110426783838594,Desv.stat=133333333.3σ | CUSUM=399999998.5,399999998.5,133333333.33333334,-1.0,1.0,0.10159893075897068,2026-05-14 05:54
211evo2||Turbocharger||NOISY,42.27155611011898,MEDIA,1.0,1.0,0.0,0.07948699965029679,0.010578345861189536,0.2237182657490692,0.016234308557901287,Desv.stat=100000000.0σ | CUSUM=299999998.5,299999998.5,100000000.0,-0.4999999999999997,1.0,0.05993882320558841,2026-05-14 05:54
"888evo4||Cylinder block||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",42.13431653243047,MEDIA,8.775211671706562e-09,6.585589172446711e-08,1.0,0.9610449745504127,0.22890819167274665,0.04228905728630817,1.0,Cohorte=1.00x | IF=anomalía | CostoAlto,19.756767418556297,0.6171898875766989,-2.999999999999997,1.0000000000000002,0.724695926071243,2026-05-14 05:54
"888G3||Valve stem seal||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",41.57154391857058,MEDIA,3.185059997812621e-08,2.3635444794904261e-07,1.0,1.0,0.157153902717852,0.0,1.0,Cohorte=1.00x | IF=anomalía | CostoAlto,70.90633403018111,2.2401588651282247,-16.499999999999996,1.0000000000000002,0.7974861476133136,2026-05-14 05:54
"888G3||Cylinder head||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",41.180751003063655,MEDIA,1.0137704027519643e-08,2.217830178783958e-07,1.0,0.6646912614209264,0.6287121609709051,0.04948947952920388,1.0,Cohorte=1.00x | IF=anomalía | ErrFcPrev>50% | CostoAlto,66.53490503084421,0.7130185166022196,-2.499999999999999,1.0000000000000002,0.5012242527694867,2026-05-14 05:54
"211evo2||Oil filter||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",38.6639696030937,MEDIA,0.0,0.0,1.0,0.5600128297661738,0.1300287979556208,1.0,0.10543293968906729,Cohorte=1.00x | IF=anomalía | Crec=2.5x,0.0,-0.5882124870781513,3.000000000000001,1.0000000000000002,0.4222893069796558,2026-05-14 05:54
"888evo5||Oil return pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",37.21585322340138,MEDIA,0.0,0.0,1.0,0.04149619927429745,0.9370059912894226,1.0,0.017544740355512577,Cohorte=1.00x | ErrFcPrev>50% | Crec=2.3x,0.0,0.0,-0.5,1.0000000000000002,0.031291071029835936,2026-05-14 05:54
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",36.89660116230361,MEDIA,3.6112600602646246e-08,9.252297584682995e-08,1.0,0.9999510960594042,0.0353239785502712,0.0,0.568023794515681,Cohorte=1.00x | IF=anomalía | CostoAlto,27.756892615264523,2.5399195757194692,2.0,1.0000000000000002,0.7540338951605553,2026-05-14 05:54
"888G3||Dipstick||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",36.25744249551769,MEDIA,2.1327733552073786e-08,3.901074481399291e-07,1.0,1.0,0.15394758283096643,0.10445139110642254,0.18306781568027633,Cohorte=1.00x | IF=anomalía,117.03223385681756,1.5000505931625328,-5.499999999999997,1.0000000000000002,0.7543691409082673,2026-05-14 05:54
888evo4||Coolant pipe||LEAKING,34.25892830315175,MEDIA,5.782252935214338e-08,2.6807810468928816e-07,1.0,0.7127943561624538,0.09430757346718294,0.29445878524954633,0.3331046386083971,Cohorte=1.00x | IF=anomalía,80.42343100466928,4.066851231100777,14.500000000000005,1.0000000000000002,0.5374973905660938,2026-05-14 05:54
888evo4||Injector||INEFFECTIVE,33.109237314788345,MEDIA,4.753803937020014e-09,1.2973928454447007e-07,1.0,0.6417827705478291,0.6590978171359285,0.0,0.07599370171659518,Cohorte=1.00x | IF=anomalía | ErrFcPrev>50%,38.92178516873209,0.33435087690374315,-5.499999999999997,1.0000000000000002,0.4839496293670384,2026-05-14 05:54
"211evo2||Oil pressure switch||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",31.732426390885593,BAJA,2.3456115388204306e-10,0.0,1.0,0.4137619525865099,0.2532827366563769,0.5232330946141855,0.11085608628621382,Cohorte=1.00x | Crec=1.7x,0.0,0.016497467823037137,10.000000000000002,1.0000000000000002,0.3120057950909117,2026-05-14 05:54
"888evo4||Injector||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",31.063972873016144,BAJA,2.438108935007196e-08,4.8490646302945404e-08,1.0,0.657947342411421,0.014354599363237927,0.0,0.5919150872420236,Cohorte=1.00x | IF=anomalía | CostoAlto,14.547193818147651,1.7148032842884058,-3.999999999999997,1.0000000000000002,0.4961388605543832,2026-05-14 05:54
888G3||Valve stem seal||LEAKING,30.66104031855029,BAJA,2.9632287430514407e-08,6.970252338421914e-08,1.0,0.5296799945781878,0.10895856274490216,0.13694705605189364,0.49044103291977315,Cohorte=1.00x | IF=anomalía,20.910756910711957,2.084137549279527,0.5000000000000002,1.0000000000000002,0.3994162025266541,2026-05-14 05:54
"211evo2||Fuel pressure sender||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",30.332693843435855,BAJA,1.0689046084264932e-08,9.312990111327915e-08,1.0,0.6689896963695358,0.2991035491476071,0.0,0.12110395294481621,Cohorte=1.00x | IF=anomalía,27.938970194288895,0.7517962412599718,-4.999999999999998,1.0000000000000002,0.5044655769304051,2026-05-14 05:54
