serie_id,mes_dt,tipo,fallas_central,fallas_lo,fallas_hi,costo_central,costo_lo,costo_hi
211evo2||ACF valve||ELECTRICAL FAULT,2024-03-01,Histórico,1.0,1.0,1.0,227.7,227.7,227.7
211evo2||ACF valve||ELECTRICAL FAULT,2024-05-01,Histórico,3.0,3.0,3.0,640.2,640.2,640.2
211evo2||ACF valve||ELECTRICAL FAULT,2024-07-01,Histórico,7.0,7.0,7.0,830.35,830.35,830.35
211evo2||ACF valve||ELECTRICAL FAULT,2024-08-01,Histórico,6.0,6.0,6.0,1114.42,1114.42,1114.42
211evo2||ACF valve||ELECTRICAL FAULT,2024-09-01,Histórico,8.0,8.0,8.0,1293.04,1293.04,1293.04
211evo2||ACF valve||ELECTRICAL FAULT,2024-10-01,Histórico,6.0,6.0,6.0,1027.8,1027.8,1027.8
211evo2||ACF valve||ELECTRICAL FAULT,2024-11-01,Histórico,7.0,7.0,7.0,1774.45,1774.45,1774.45
211evo2||ACF valve||ELECTRICAL FAULT,2024-12-01,Histórico,21.0,21.0,21.0,4300.96,4300.96,4300.96
211evo2||ACF valve||ELECTRICAL FAULT,2025-01-01,Histórico,22.0,22.0,22.0,5228.46,5228.46,5228.46
211evo2||ACF valve||ELECTRICAL FAULT,2025-02-01,Histórico,12.0,12.0,12.0,2845.67,2845.67,2845.67
211evo2||ACF valve||ELECTRICAL FAULT,2025-03-01,Histórico,22.0,22.0,22.0,4576.73,4576.73,4576.73
211evo2||ACF valve||ELECTRICAL FAULT,2025-04-01,Histórico,15.0,15.0,15.0,2862.0099999999998,2862.0099999999998,2862.0099999999998
211evo2||ACF valve||ELECTRICAL FAULT,2025-05-01,Histórico,9.0,9.0,9.0,1657.8400000000001,1657.8400000000001,1657.8400000000001
211evo2||ACF valve||ELECTRICAL FAULT,2025-06-01,Histórico,10.0,10.0,10.0,1878.91,1878.91,1878.91
211evo2||ACF valve||ELECTRICAL FAULT,2025-07-01,Histórico,11.0,11.0,11.0,1591.8,1591.8,1591.8
211evo2||ACF valve||ELECTRICAL FAULT,2025-08-01,Histórico,15.0,15.0,15.0,1541.6599999999999,1541.6599999999999,1541.6599999999999
