serie_id,componente_pw,damage_code_pw,score,nivel_alerta,razones,costo_proj_6m,fallas_proj_6m,c1_desviacion,c2_cusum,c3_engine_date,c4_if,c5_error_prev,c6_crecimiento,c7_costo
"888evo5||Coolant pump||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,59.05197100924082,MEDIA,Desv.stat=133333333.3σ | CUSUM=399999998.5 | ErrFcPrev>50% | Crec=2.1x,1544.2884957933427,20.895588874816895,1.0,1.0,0.0,0.027440557035666155,1.0,0.876825205654624,0.007947383972375415
888evo5||Intake manifold pressure sender||ELECTRICAL FAULT,8,8,51.24571678819485,MEDIA,Desv.stat=266666666.7σ | CUSUM=799999998.5 | Crec=2.4x,4734.342163993518,33.59953276316325,1.0,1.0,0.0,0.04199163762200379,0.047649801042551274,1.0,0.0069201172744093745
888evo5||Ignition coil||ELECTRICAL FAULT,8,8,50.675198854190185,MEDIA,Desv.stat=466666666.7σ | CUSUM=1499999999.0 | Crec=2.0x,7843.177793848037,51.3868688583374,1.0,1.0,0.0,0.05810976978793983,0.21140440948893197,0.7857748289609933,0.01799884067174567
"888G3||Cylinder block||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,47.59450268977506,MEDIA,Cohorte=1.00x | IF=anomalía | ErrFcPrev>50% | CostoAlto,528389.1706858062,83.24924011230468,0.0,4.033207406863427e-08,1.0,0.8123969092208649,1.0,0.06531287558691874,1.0
211evo2||Cylinder block||LEAKING,2,1,46.380236648933014,MEDIA,Desv.stat=100000000.0σ | CUSUM=299999998.5,54889.483765968325,10.444804382324218,1.0,1.0,0.0,0.15505239304330584,0.2876972307408628,0.12918998359381786,0.1646367320827974
"888evo4||Thermostat housing||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,45.399813124584,MEDIA,Cohorte=1.00x | IF=anomalía | ErrFcPrev>50% | CostoAlto,178966.47045030212,241.1914535522461,7.791645491111358e-09,3.2880583634233003e-07,1.0,1.0,0.5919124777509643,0.0,0.9350852840920488
"888evo5||Coolant pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,45.033803940432904,MEDIA,Desv.stat=66666666.7σ | CUSUM=199999999.5 | Crec=2.3x,6866.9620239313435,18.36503489812215,0.947867298578193,0.6666666683333333,0.0,0.00988662604574761,0.18184446785931918,1.0,0.011242577187268513
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2,1,44.69047480582798,MEDIA,Desv.stat=100000000.0σ | CUSUM=299999998.5,2447.449217147112,11.843164777755739,1.0,1.0,0.0,0.06970781211357366,0.23918166445864947,0.25422709329281784,0.007862529474614448
"888evo4||Cylinder head gasket||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,44.36988005471253,MEDIA,Desv.stat=133333333.3σ | CUSUM=399999999.0,20347.843167480467,13.20362548828125,1.0,1.0,0.0,0.15477308397892292,0.021352570687710765,0.25781254898065803,0.05393266655322975
888evo5||High pressure pump||ELECTRICAL FAULT,8,8,43.30985886899893,MEDIA,Desv.stat=66666666.7σ | CUSUM=199999999.5 | Crec=1.9x,9555.311020636656,15.1255051891009,0.947867298578193,0.6666666683333333,0.0,0.028712170579451333,0.3088868012617771,0.7167834842423612,0.02176701800728688
"888evo4||Oil filler neck||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,43.203125074768394,MEDIA,Desv.stat=100000000.0σ | CUSUM=299999998.5,584.6963207340241,11.340114831924438,1.0,1.0,0.0,0.1352276822079322,0.03553496143303823,0.20924590570592688,0.004744249304005505
888G3||Thermostat housing||LEAKING,8,8,43.100211616779724,MEDIA,CUSUM=1499999997.5 | Cohorte=1.00x,22616.848143814088,33.35228004455566,5.198888619874955e-08,1.0,1.0,0.19103343580052926,0.07296455162383556,0.4733584719416497,0.055336873606856504
888evo4||Intake air temperature sensor||ELECTRICAL FAULT,8,8,42.87235028200321,MEDIA,Desv.stat=133333333.3σ | CUSUM=399999998.5,1623.6719816780092,12.551576852798462,1.0,1.0,0.0,0.13473394607713757,0.0060924499894357215,0.20533877371056738,0.007110426783838594
211evo2||Turbocharger||NOISY,2,1,42.27155611011898,MEDIA,Desv.stat=100000000.0σ | CUSUM=299999998.5,803.6424610104561,11.501967382431031,1.0,1.0,0.0,0.07948699965029679,0.010578345861189536,0.2237182657490692,0.016234308557901287
"888evo4||Cylinder block||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,42.13431653243047,MEDIA,Cohorte=1.00x | IF=anomalía | CostoAlto,880737.0041231537,141.0415859222412,8.775211671706562e-09,6.585589172446711e-08,1.0,0.9610449745504127,0.22890819167274665,0.04228905728630817,1.0
"888G3||Valve stem seal||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,41.57154391857058,MEDIA,Cohorte=1.00x | IF=anomalía | CostoAlto,402239.30308708193,307.82128143310547,3.185059997812621e-08,2.3635444794904261e-07,1.0,1.0,0.157153902717852,0.0,1.0
"888G3||Cylinder head||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,41.180751003063655,MEDIA,Cohorte=1.00x | IF=anomalía | ErrFcPrev>50% | CostoAlto,230323.3459527588,81.73523235321045,1.0137704027519643e-08,2.217830178783958e-07,1.0,0.6646912614209264,0.6287121609709051,0.04948947952920388,1.0
"211evo2||Oil filter||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,1,38.6639696030937,MEDIA,Cohorte=1.00x | IF=anomalía | Crec=2.5x,7980.774999999998,55.0,0.0,0.0,1.0,0.5600128297661738,0.1300287979556208,1.0,0.10543293968906729
"888evo5||Oil return pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,37.21585322340138,MEDIA,Cohorte=1.00x | ErrFcPrev>50% | Crec=2.3x,13950.95927193165,22.150532722473145,0.0,0.0,1.0,0.04149619927429745,0.9370059912894226,1.0,0.017544740355512577
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,1,36.89660116230361,MEDIA,Cohorte=1.00x | IF=anomalía | CostoAlto,77656.95718722153,369.8214500427246,3.6112600602646246e-08,9.252297584682995e-08,1.0,0.9999510960594042,0.0353239785502712,0.0,0.568023794515681
"888G3||Dipstick||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,36.25744249551769,MEDIA,Cohorte=1.00x | IF=anomalía,50769.109845428466,379.61051177978516,2.1327733552073786e-08,3.901074481399291e-07,1.0,1.0,0.15394758283096643,0.10445139110642254,0.18306781568027633
888evo4||Coolant pipe||LEAKING,8,8,34.25892830315175,MEDIA,Cohorte=1.00x | IF=anomalía,77238.16532128907,260.886865234375,5.782252935214338e-08,2.6807810468928816e-07,1.0,0.7127943561624538,0.09430757346718294,0.29445878524954633,0.3331046386083971
888evo4||Injector||INEFFECTIVE,8,8,33.109237314788345,MEDIA,Cohorte=1.00x | IF=anomalía | ErrFcPrev>50%,7656.410828876495,111.81322860717773,4.753803937020014e-09,1.2973928454447007e-07,1.0,0.6417827705478291,0.6590978171359285,0.0,0.07599370171659518
"211evo2||Oil pressure switch||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,1,31.732426390885593,BAJA,Cohorte=1.00x | Crec=1.7x,13090.003017368315,67.6573356628418,2.3456115388204306e-10,0.0,1.0,0.4137619525865099,0.2532827366563769,0.5232330946141855,0.11085608628621382
"888evo4||Injector||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,31.063972873016144,BAJA,Cohorte=1.00x | IF=anomalía | CostoAlto,91009.81830701446,159.01633377075194,2.438108935007196e-08,4.8490646302945404e-08,1.0,0.657947342411421,0.014354599363237927,0.0,0.5919150872420236
888G3||Valve stem seal||LEAKING,8,8,30.66104031855029,BAJA,Cohorte=1.00x | IF=anomalía,153381.20755203246,88.93313980102539,2.9632287430514407e-08,6.970252338421914e-08,1.0,0.5296799945781878,0.10895856274490216,0.13694705605189364,0.49044103291977315
"211evo2||Fuel pressure sender||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,1,30.332693843435855,BAJA,Cohorte=1.00x | IF=anomalía,19286.79451385498,118.84886932373047,1.0689046084264932e-08,9.312990111327915e-08,1.0,0.6689896963695358,0.2991035491476071,0.0,0.12110395294481621
888G3||Throttle valve control part||ELECTRICAL FAULT,8,8,30.07857262807425,BAJA,Cohorte=1.00x | ErrFcPrev>50%,5454.237129522801,21.753428506851197,0.0,1.7628800971510885e-09,1.0,0.13374422107337938,0.9835675954692447,0.225019606645177,0.03362620045754819
"888G3||Oil separator||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,29.598793369637473,BAJA,Cohorte=1.00x | IF=anomalía,41995.851882881165,161.51008338928222,3.517922810948741e-08,2.7080235008371493e-07,1.0,0.6659584805297502,0.09054177742005251,0.0,0.29650948105054115
888evo4||Ignition coil||ELECTRICAL FAULT,8,8,29.145959597500397,BAJA,Cohorte=1.00x | ErrFcPrev>50%,2620.798474941969,24.908981370925904,6.7084226809886056e-09,4.618010785112967e-08,1.0,0.21166161485887844,1.0,0.030479373396909155,0.022744837340770097
